cycle,pangle,af,cmode
0,20.0,14.7,0.0
1,20.0333333,14.7,0.0
2,20.0666667,14.7,0.0
3,20.1,14.7,0.0
4,20.1333333,14.7,0.0
5,20.1666667,14.7,0.0
6,20.2,14.7,0.0
7,20.2333333,14.7,0.0
8,20.2666667,14.7,0.0
9,20.3,14.7,0.0
10,20.3333333,14.7,1.0
11,20.3666667,14.7,1.0
12,20.4,14.7,1.0
13,20.4333333,14.7,1.0
14,20.4666667,14.7,1.0
15,20.5,14.7,1.0
16,20.5333333,14.7,1.0
17,20.5666667,14.7,1.0
18,20.6,14.7,1.0
19,20.6333333,14.7,1.0
20,20.6666667,14.7,1.0
21,20.7,14.7,1.0
22,20.7333333,14.7,1.0
23,20.7666667,14.7,1.0
24,20.8,14.7,1.0
25,20.8333333,14.7,1.0
26,20.8666667,14.7,1.0
27,20.9,14.7,1.0
28,20.9333333,14.7,1.0
29,20.9666667,14.7,1.0
30,21.0,14.7,1.0
31,21.0333333,14.7,1.0
32,21.0666667,14.7,1.0
33,21.1,14.7,1.0
34,21.1333333,14.7,1.0
35,21.1666667,14.7,1.0
36,21.2,14.7,1.0
37,21.2333333,14.7,1.0
38,21.2666667,14.7,1.0
39,21.3,14.7,1.0
40,21.3333333,14.7,1.0
41,21.3666667,14.7,1.0
42,21.4,14.7,1.0
43,21.4333333,14.7,1.0
44,21.4666667,14.7,1.0
45,21.5,14.7,1.0
46,21.5333333,14.7,1.0
47,21.5666667,14.7,1.0
48,21.6,14.7,1.0
49,21.6333333,14.7,1.0
50,21.6666667,14.7,1.0
51,21.7,14.7,1.0
52,21.7333333,14.7,1.0
53,21.7666667,14.7,1.0
54,21.8,14.7,1.0
55,21.8333333,14.7,1.0
56,21.8666667,14.7,1.0
57,21.9,14.7,1.0
58,21.9333333,14.7,1.0
59,21.9666667,14.7,1.0
60,22.0,14.7,1.0
61,22.0333333,14.7,1.0
62,22.0666667,14.7,1.0
63,22.1,14.7,1.0
64,22.1333333,14.7,1.0
65,22.1666667,14.7,1.0
66,22.2,14.7,1.0
67,22.2333333,14.7,1.0
68,22.2666667,14.7,1.0
69,22.3,14.7,1.0
70,22.3333333,14.7,1.0
71,22.3666667,14.7,1.0
72,22.4,14.7,1.0
73,22.4333333,14.7,1.0
74,22.4666667,14.7,1.0
75,22.5,14.7,1.0
76,22.5333333,14.7,1.0
77,22.5666667,14.7,1.0
78,22.6,14.7,1.0
79,22.6333333,14.7,1.0
80,22.6666667,14.7,1.0
81,22.7,14.7,1.0
82,22.7333333,14.7,1.0
83,22.7666667,14.7,1.0
84,22.8,14.7,1.0
85,22.8333333,14.7,1.0
86,22.8666667,14.7,1.0
87,22.9,14.7,1.0
88,22.9333333,14.7,1.0
89,22.9666667,14.7,1.0
90,23.0,14.7,1.0
91,23.0333333,14.7,1.0
92,23.0666667,14.7,1.0
93,23.1,14.7,1.0
94,23.1333333,14.7,1.0
95,23.1666667,14.7,1.0
96,23.2,14.7,1.0
97,23.2333333,14.7,1.0
98,23.2666667,14.7,1.0
99,23.3,14.7,1.0
100,23.3333333,14.7,1.0
101,23.3666667,14.7,1.0
102,23.4,14.7,1.0
103,23.4333333,14.7,1.0
104,23.4666667,14.7,1.0
105,23.5,14.7,1.0
106,23.5333333,14.7,1.0
107,23.5666667,14.7,1.0
108,23.6,14.7,1.0
109,23.6333333,14.7,1.0
110,23.6666667,14.7,1.0
111,23.7,14.7,1.0
112,23.7333333,14.7,1.0
113,23.7666667,14.7,1.0
114,23.8,14.7,1.0
115,23.8333333,14.7,1.0
116,23.8666667,14.7,1.0
117,23.9,14.7,1.0
118,23.9333333,14.7,1.0
119,23.9666667,14.7,1.0
120,24.0,14.7,1.0
121,24.0333333,14.7,1.0
122,24.0666667,14.7,1.0
123,24.1,14.7,1.0
124,24.1333333,14.7,1.0
125,24.1666667,14.7,1.0
126,24.2,14.7,1.0
127,24.2333333,14.7,1.0
128,24.2666667,14.7,1.0
129,24.3,14.7,1.0
130,24.3333333,14.7,1.0
131,24.3666667,14.7,1.0
132,24.4,14.7,1.0
133,24.4333333,14.7,1.0
134,24.4666667,14.7,1.0
135,24.5,14.7,1.0
136,24.5333333,14.7,1.0
137,24.5666667,14.7,1.0
138,24.6,14.7,1.0
139,24.6333333,14.7,1.0
140,24.6666667,14.7,1.0
141,24.7,14.7,1.0
142,24.7333333,14.7,1.0
143,24.7666667,14.7,1.0
144,24.8,14.7,1.0
145,24.8333333,14.7,1.0
146,24.8666667,14.7,1.0
147,24.9,14.7,1.0
148,24.9333333,14.7,1.0
149,24.9666667,14.7,1.0
150,25.0,14.7,1.0
151,25.0333333,14.7,1.0
152,25.0666667,14.7,1.0
153,25.1,14.7,1.0
154,25.1333333,14.7,1.0
155,25.1666667,14.7,1.0
156,25.2,14.7,1.0
157,25.2333333,14.7,1.0
158,25.2666667,14.7,1.0
159,25.3,14.7,1.0
160,25.3333333,14.7,1.0
161,25.3666667,14.7,1.0
162,25.4,14.7,1.0
163,25.4333333,14.7,1.0
164,25.4666667,14.7,1.0
165,25.5,14.7,1.0
166,25.5333333,14.7,1.0
167,25.5666667,14.7,1.0
168,25.6,14.7,1.0
169,25.6333333,14.7,1.0
170,25.6666667,14.7,1.0
171,25.7,14.7,1.0
172,25.7333333,14.7,1.0
173,25.7666667,14.7,1.0
174,25.8,14.7,1.0
175,25.8333333,14.7,1.0
176,25.8666667,14.7,1.0
177,25.9,14.7,1.0
178,25.9333333,14.7,1.0
179,25.9666667,14.7,1.0
180,26.0,14.7,1.0
181,26.0333333,14.7,1.0
182,26.0666667,14.7,1.0
183,26.1,14.7,1.0
184,26.1333333,14.7,1.0
185,26.1666667,14.7,1.0
186,26.2,14.7,1.0
187,26.2333333,14.7,1.0
188,26.2666667,14.7,1.0
189,26.3,14.7,1.0
190,26.3333333,14.7,1.0
191,26.3666667,14.7,1.0
192,26.4,14.7,1.0
193,26.4333333,14.7,1.0
194,26.4666667,14.7,1.0
195,26.5,14.7,1.0
196,26.5333333,14.7,1.0
197,26.5666667,14.7,1.0
198,26.6,14.7,1.0
199,26.6333333,14.7,1.0
200,26.6666667,14.7,1.0
201,26.7,14.7,1.0
202,26.7333333,14.7,1.0
203,26.7666667,14.7,1.0
204,26.8,14.7,1.0
205,26.8333333,14.7,1.0
206,26.8666667,14.7,1.0
207,26.9,14.7,1.0
208,26.9333333,14.7,1.0
209,26.9666667,14.7,1.0
210,27.0,14.7,1.0
211,27.0333333,14.7,1.0
212,27.0666667,14.7,1.0
213,27.1,14.7,1.0
214,27.1333333,14.7,1.0
215,27.1666667,14.7,1.0
216,27.2,14.7,1.0
217,27.2333333,14.7,1.0
218,27.2666667,14.7,1.0
219,27.3,14.7,1.0
220,27.3333333,14.7,1.0
221,27.3666667,14.7,1.0
222,27.4,14.7,1.0
223,27.4333333,14.7,1.0
224,27.4666667,14.7,1.0
225,27.5,14.7,1.0
226,27.5333333,14.7,1.0
227,27.5666667,14.7,1.0
228,27.6,14.7,1.0
229,27.6333333,14.7,1.0
230,27.6666667,14.7,1.0
231,27.7,14.7,1.0
232,27.7333333,14.7,1.0
233,27.7666667,14.7,1.0
234,27.8,14.7,1.0
235,27.8333333,14.7,1.0
236,27.8666667,14.7,1.0
237,27.9,14.7,1.0
238,27.9333333,14.7,1.0
239,27.9666667,14.7,1.0
240,28.0,14.7,1.0
241,28.0333333,14.7,1.0
242,28.0666667,14.7,1.0
243,28.1,14.7,1.0
244,28.1333333,14.7,1.0
245,28.1666667,14.7,1.0
246,28.2,14.7,1.0
247,28.2333333,14.7,1.0
248,28.2666667,14.7,1.0
249,28.3,14.7,1.0
250,28.3333333,14.7,1.0
251,28.3666667,14.7,1.0
252,28.4,14.7,1.0
253,28.4333333,14.7,1.0
254,28.4666667,14.7,1.0
255,28.5,14.7,1.0
256,28.5333333,14.7,1.0
257,28.5666667,14.7,1.0
258,28.6,14.7,1.0
259,28.6333333,14.7,1.0
260,28.6666667,14.7,1.0
261,28.7,14.7,1.0
262,28.7333333,14.7,1.0
263,28.7666667,14.7,1.0
264,28.8,14.7,1.0
265,28.8333333,14.704638,1.0
266,28.8666667,14.7182005,1.0
267,28.9,14.740177,1.0
268,28.9333333,14.7700834,1.0
269,28.9666667,14.8074603,1.0
270,29.0,14.8518722,1.0
271,29.0333333,14.902906,1.0
272,29.0666667,14.9601701,1.0
273,29.1,15.0200144,1.0
274,29.1333333,15.0778795,1.0
275,29.1666667,15.1335511,1.0
276,29.2,15.1871335,1.0
277,29.2333333,15.2387263,1.0
278,29.2666667,15.2884245,1.0
279,29.3,15.336319,1.0
280,29.3333333,15.3824966,1.0
281,29.3666667,15.4270382,1.0
282,29.4,15.4699813,1.0
283,29.4333333,15.511378,1.0
284,29.4666667,15.5513029,1.0
285,29.5,15.5898291,1.0
286,29.5333333,15.6270261,1.0
287,29.5666667,15.6629606,1.0
288,29.6,15.6976959,1.0
289,29.6333333,15.7312929,1.0
290,29.6666667,15.7637992,1.0
291,29.7,15.7952113,1.0
292,29.7333333,15.8255629,1.0
293,29.7666667,15.8549085,1.0
294,29.8,15.8833009,1.0
295,29.8333333,15.9107903,1.0
296,29.8666667,15.9374249,1.0
297,29.9,15.96325,1.0
298,29.9333333,15.9883093,1.0
299,29.9666667,16.0126278,1.0
300,30.0,16.0361742,1.0
301,30.0333333,16.0589712,1.0
302,30.0666667,16.0810593,1.0
303,30.1,16.1024766,1.0
304,30.1333333,16.1232595,1.0
305,30.1666667,16.1434425,1.0
306,30.2,16.1630583,1.0
307,30.2333333,16.182138,1.0
308,30.2666667,16.2007112,1.0
309,30.3,16.2187953,1.0
310,30.3333333,16.2363504,1.0
311,30.3666667,16.2533734,1.0
312,30.4,16.2698926,1.0
313,30.4333333,16.2859366,1.0
314,30.4666667,16.3015325,1.0
315,30.5,16.3167059,1.0
316,30.5333333,16.3314811,1.0
317,30.5666667,16.3458811,1.0
318,30.6,16.3599277,1.0
319,30.6333333,16.3736417,1.0
320,30.6666667,16.3870016,1.0
321,30.7,16.3999645,1.0
322,30.7333333,16.4125496,1.0
323,30.7666667,16.4247794,1.0
324,30.8,16.436675,1.0
325,30.8333333,16.4482565,1.0
326,30.8666667,16.4595429,1.0
327,30.9,16.4705522,1.0
328,30.9333333,16.4813014,1.0
329,30.9666667,16.4918066,1.0
330,31.0,16.5020699,1.0
331,31.0333333,16.5120433,1.0
332,31.0666667,16.5217208,1.0
333,31.1,16.5311198,1.0
334,31.1333333,16.5402579,1.0
335,31.1666667,16.5491515,1.0
336,31.2,16.5578163,1.0
337,31.2333333,16.5662672,1.0
338,31.2666667,16.5745183,1.0
339,31.3,16.5825828,1.0
340,31.3333333,16.5904734,1.0
341,31.3666667,16.5981594,1.0
342,31.4,16.6056067,1.0
343,31.4333333,16.6128277,1.0
344,31.4666667,16.6198376,1.0
345,31.5,16.6266507,1.0
346,31.5333333,16.6332806,1.0
347,31.5666667,16.6397402,1.0
348,31.6,16.6460415,1.0
349,31.6333333,16.6521963,1.0
350,31.6666667,16.6582154,1.0
351,31.7,16.6640954,1.0
352,31.7333333,16.6697904,1.0
353,31.7666667,16.675296,1.0
354,31.8,16.6806254,1.0
355,31.8333333,16.6857915,1.0
356,31.8666667,16.6908067,1.0
357,31.9,16.6956824,1.0
358,31.9333333,16.7004298,1.0
359,31.9666667,16.7050591,1.0
360,32.0,16.7095804,1.0
361,32.0333333,16.7140026,1.0
362,32.0666667,16.7182904,1.0
363,32.1,16.722417,1.0
364,32.1333333,16.7263923,1.0
365,32.1666667,16.7302284,1.0
366,32.2,16.7339366,1.0
367,32.2333333,16.7375278,1.0
368,32.2666667,16.7410121,1.0
369,32.3,16.7443994,1.0
370,32.3333333,16.7476987,1.0
371,32.3666667,16.7509188,1.0
372,32.4,16.7540512,1.0
373,32.4333333,16.7570507,1.0
374,32.4666667,16.7599171,1.0
375,32.5,16.7626618,1.0
376,32.5333333,16.7652957,1.0
377,32.5666667,16.7678291,1.0
378,32.6,16.7702717,1.0
379,32.6333333,16.7726328,1.0
380,32.6666667,16.7749212,1.0
381,32.7,16.7771451,1.0
382,32.7333333,16.7793067,1.0
383,32.7666667,16.7813671,1.0
384,32.8,16.7833099,1.0
385,32.8333333,16.7851445,1.0
386,32.8666667,16.7868814,1.0
387,32.9,16.7885307,1.0
388,32.9333333,16.7901017,1.0
389,32.9666667,16.7916033,1.0
390,33.0,16.7930441,1.0
391,33.0333333,16.794432,1.0
392,33.0666667,16.7957745,1.0
393,33.1,16.7970441,1.0
394,33.1333333,16.7982085,1.0
395,33.1666667,16.7992757,1.0
396,33.2,16.8002558,1.0
397,33.2333333,16.8011586,1.0
398,33.2666667,16.8019932,1.0
399,33.3,16.8027683,1.0
400,33.3333333,16.8034922,1.0
401,33.3666667,16.8041727,1.0
402,33.4,16.804817,1.0
403,33.4333333,16.8054123,1.0
404,33.4666667,16.8059157,1.0
405,33.5,16.806331,1.0
406,33.5333333,16.8066682,1.0
407,33.5666667,16.8069367,1.0
408,33.6,16.8071454,1.0
409,33.6333333,16.807303,1.0
410,33.6666667,16.8074173,1.0
411,33.7,16.8074961,1.0
412,33.7333333,16.8075463,1.0
413,33.7666667,16.8074997,1.0
414,33.8,16.8070639,1.0
415,33.8333333,16.806184,1.0
416,33.8666667,16.8048953,1.0
417,33.9,16.8032322,1.0
418,33.9333333,16.8012268,1.0
