cycle,pangle,af,cmode
0,20.0,14.7,0.0,8.8
1,20.0333333,14.7,0.0,8.8
2,20.0666667,14.7,0.0,8.8
3,20.1,14.7,0.0,8.8
4,20.1333333,14.7,0.0,8.8
5,20.1666667,14.7,0.0,8.8
6,20.2,14.7,0.0,8.8
7,20.2333333,14.7,0.0,8.8
8,20.2666667,14.7,0.0,8.8
9,20.3,14.7,0.0,8.8
10,20.3333333,14.7,1.0,8.8
11,20.3666667,14.7,1.0,8.8
12,20.4,14.7,1.0,8.8
13,20.4333333,14.7,1.0,8.8
14,20.4666667,14.7,1.0,8.8
15,20.5,14.7,1.0,8.8
16,20.5333333,14.7,1.0,8.8
17,20.5666667,14.7,1.0,8.8
18,20.6,14.7,1.0,8.8
19,20.6333333,14.7,1.0,8.8
20,20.6666667,14.7,1.0,8.8
21,20.7,14.7,1.0,8.8
22,20.7333333,14.7,1.0,8.8
23,20.7666667,14.7,1.0,8.8
24,20.8,14.7,1.0,8.8
25,20.8333333,14.7,1.0,8.8
26,20.8666667,14.7,1.0,8.8
27,20.9,14.7,1.0,8.8
28,20.9333333,14.7,1.0,8.8
29,20.9666667,14.7,1.0,8.8
30,21.0,14.7,1.0,8.8
31,21.0333333,14.7,1.0,8.8
32,21.0666667,14.7,1.0,8.8
33,21.1,14.7,1.0,8.8
34,21.1333333,14.7,1.0,8.8
35,21.1666667,14.7,1.0,8.8
36,21.2,14.7,1.0,8.8
37,21.2333333,14.7,1.0,8.8
38,21.2666667,14.7,1.0,8.8
39,21.3,14.7,1.0,8.8
40,21.3333333,14.7,1.0,8.8
41,21.3666667,14.7,1.0,8.8
42,21.4,14.7,1.0,8.8
43,21.4333333,14.7,1.0,8.8
44,21.4666667,14.7,1.0,8.8
45,21.5,14.7,1.0,8.8
46,21.5333333,14.7,1.0,8.8
47,21.5666667,14.7,1.0,8.8
48,21.6,14.7,1.0,8.8
49,21.6333333,14.7,1.0,8.8
50,21.6666667,14.7,1.0,16.0
51,21.7,14.7,1.0,16.0
52,21.7333333,14.7,1.0,16.0
53,21.7666667,14.7,1.0,16.0
54,21.8,14.7,1.0,16.0
55,21.8333333,14.7,1.0,16.0
56,21.8666667,14.7,1.0,16.0
57,21.9,14.7,1.0,16.0
58,21.9333333,14.7,1.0,16.0
59,21.9666667,14.7,1.0,16.0
60,22.0,14.7,1.0,16.0
61,22.0333333,14.7,1.0,16.0
62,22.0666667,14.7,1.0,16.0
63,22.1,14.7,1.0,16.0
64,22.1333333,14.7,1.0,16.0
65,22.1666667,14.7,1.0,16.0
66,22.2,14.7,1.0,16.0
67,22.2333333,14.7,1.0,16.0
68,22.2666667,14.7,1.0,16.0
69,22.3,14.7,1.0,16.0
70,22.3333333,14.7,1.0,16.0
71,22.3666667,14.7,1.0,16.0
72,22.4,14.7,1.0,16.0
73,22.4333333,14.7,1.0,16.0
74,22.4666667,14.7,1.0,16.0
75,22.5,14.7,1.0,16.0
76,22.5333333,14.7,1.0,16.0
77,22.5666667,14.7,1.0,16.0
78,22.6,14.7,1.0,16.0
79,22.6333333,14.7,1.0,16.0
80,22.6666667,14.7,1.0,16.0
81,22.7,14.7,1.0,16.0
82,22.7333333,14.7,1.0,16.0
83,22.7666667,14.7,1.0,16.0
84,22.8,14.7,1.0,16.0
85,22.8333333,14.7,1.0,16.0
86,22.8666667,14.7,1.0,16.0
87,22.9,14.7,1.0,16.0
88,22.9333333,14.7,1.0,16.0
89,22.9666667,14.7,1.0,16.0
90,23.0,14.7,1.0,16.0
91,23.0333333,14.7,1.0,16.0
92,23.0666667,14.7,1.0,16.0
93,23.1,14.7,1.0,16.0
94,23.1333333,14.7,1.0,16.0
95,23.1666667,14.7,1.0,16.0
96,23.2,14.7,1.0,16.0
97,23.2333333,14.7,1.0,16.0
98,23.2666667,14.7,1.0,16.0
99,23.3,14.7,1.0,16.0
100,23.3333333,14.7,1.0,16.0
101,23.3666667,14.7,1.0,16.0
102,23.4,14.7,1.0,16.0
103,23.4333333,14.7,1.0,16.0
104,23.4666667,14.7,1.0,16.0
105,23.5,14.7,1.0,16.0
106,23.5333333,14.7,1.0,16.0
107,23.5666667,14.7,1.0,16.0
108,23.6,14.7,1.0,16.0
109,23.6333333,14.7,1.0,16.0
110,23.6666667,14.7,1.0,16.0
111,23.7,14.7,1.0,16.0
112,23.7333333,14.7,1.0,16.0
113,23.7666667,14.7,1.0,16.0
114,23.8,14.7,1.0,16.0
115,23.8333333,14.7,1.0,16.0
116,23.8666667,14.7,1.0,16.0
117,23.9,14.7,1.0,16.0
118,23.9333333,14.7,1.0,16.0
119,23.9666667,14.7,1.0,16.0
120,24.0,14.7,1.0,16.0
121,24.0333333,14.7,1.0,16.0
122,24.0666667,14.7,1.0,16.0
123,24.1,14.7,1.0,16.0
124,24.1333333,14.7,1.0,16.0
125,24.1666667,14.7,1.0,16.0
126,24.2,14.7,1.0,16.0
127,24.2333333,14.7,1.0,16.0
128,24.2666667,14.7,1.0,16.0
